company_name,company_rating,industry,size,type,years_old,location
Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72,Ahmedabad
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,47,Ahmedabad
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Ahmedabad
TTEC India,3.8,BPO,1k-5k Employees,Public,40,Ahmedabad
Cadila Pharmaceuticals,3.6,Pharma,5k-10k Employees,Public,73,Ahmedabad
Torrent Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,53,Ahmedabad
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Ahmedabad
S&P Global,4.2,Analytics & KPO,10k-50k Employees,Public,164,Ahmedabad
Arvind Group,4.1,Fashion & Textile,10k-50k Employees,Public,93,Ahmedabad
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Ahmedabad
Torrent Power,3.8,Power,5k-10k Employees,Public,28,Ahmedabad
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Ahmedabad
Kotak Mahindra Bank,3.9,Banking,50k-1 Lakh Employees,Public,21,Ahmedabad
Adani Group,4.0,Power,10k-50k Employees,Public,36,Ahmedabad
JBM Group,4.0,Auto Components,1k-5k Employees,Public,41,Ahmedabad
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Ahmedabad
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Ahmedabad
Shalby Hospitals,4.6,Healthcare,1k-5k Employees,Public,30,Ahmedabad
Otsuka Pharmaceutical India Private Limited,4.2,Pharma,501-1k Employees,Forbes Global 2000,8,Ahmedabad
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79,Ahmedabad
Electrotherm,4.2,Iron & Steel,1k-5k Employees,Public,41,Ahmedabad
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Ahmedabad
Ford Motor,4.5,Automobile,5k-10k Employees,Public,121,Ahmedabad
Eris Lifesciences,3.8,Pharma,1k-5k Employees,Public,17,Ahmedabad
Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,25,Ahmedabad
Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29,Indore
Baxter International,4.1,Healthcare,1k-5k Employees,Forbes Global 2000,93,Ahmedabad
Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47,Indore
Adani Green Energy,4.2,Power,1k-5k Employees,Fortune India 500,9,Indore
Adani Power,3.9,Power,1k-5k Employees,Public,18,Mundra
Mastek,3.7,IT Services & Consulting,1k-5k Employees,Public,42,Ahmedabad
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13,Indore
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Indore
